Participant	Session	Sex	ScanAge	Handness_ChineseEHI
138	1	Female	15.4	MR
139	1	Female	7.4	MR
140	1	Male	16.6	R
141	1	Male	8.7	RR
141	2	Male	10.1	RR
141	3	Male	11.6	NA
142	1	Male	7.3	MR
143	1	Male	7.3	R
143	2	Male	8.7	MR
144	1	Female	7.2	MR
144	2	Female	8.5	R
144	3	Female	10.1	NA
145	1	Male	7.5	MR
145	2	Male	9	MR
145	3	Male	10.5	NA
146	1	Female	7.1	MR
146	2	Female	8.5	MR
146	3	Female	10	NA
147	1	Male	11.5	M
148	1	Male	6.4	MR
148	2	Male	7.7	MR
148	3	Male	9.3	NA
149	1	Male	7.7	MR
150	1	Female	6.3	MR
150	2	Female	7.6	RR
150	3	Female	9.3	NA
151	1	Male	11.4	RR
151	2	Male	12.6	MR
151	3	Male	14.3	NA
152	1	Male	10.5	R
153	1	Female	4.9	M
154	1	Male	15.5	NA
155	1	Male	10.8	MR
155	2	Male	12.5	NA
156	1	Female	11.6	R
157	1	Male	10.8	MR
158	1	Male	7.1	MR
159	1	Male	10.6	MR
160	1	Female	16.7	NA
161	1	Female	10.5	NA
162	1	Female	7.9	MR
162	2	Female	9.3	MR
163	1	Female	8.2	RR
163	2	Female	9.6	MR
164	1	Female	8.9	R
165	1	Female	10.8	MR
166	1	Male	8.4	R
167	1	Female	NA	NA
168	1	Male	9.2	MR
168	2	Male	10.6	MR
169	1	Male	7.8	MR
170	1	Male	9.6	MR
171	1	Female	7.5	NA
172	1	Male	9.1	ML
173	1	Male	8.3	MR
173	2	Male	10.2	NA
174	1	Male	9	R
175	1	Female	7	RR
177	1	Male	7.5	R
178	1	Female	10.6	MR
179	1	Male	7.6	MR
180	1	Female	7.4	MR
182	1	Female	10.1	MR
183	1	Male	NA	NA
184	1	Female	5.8	MR
185	1	Male	10	R
186	1	Male	9.5	M
187	1	Male	9.5	R
188	1	Male	9.4	R
189	1	Male	9.2	MR
190	1	Male	5.6	MR
191	1	Male	9.2	MR
193	1	Male	7.7	RR
194	1	Female	8.9	MR
195	1	Male	9.6	MR
195	2	Male	10.7	NA
196	1	Female	10.3	R
197	1	Male	8.6	MR
198	1	Male	10.5	MR
199	1	Female	14.6	MR
200	1	Male	11.1	R
201	1	Female	7.4	MR
202	1	Female	6.6	MR
203	1	Female	8.6	MR
204	1	Male	7.1	R
205	1	Male	7.1	MR
206	1	Female	8	MR
207	1	Female	7.4	MR
208	1	Male	7.1	MR
209	1	Female	8.5	R
210	1	Female	10	R
211	1	Male	9.2	MR
212	1	Female	7.2	MR
213	1	Male	11.5	MR
214	1	Male	6.6	MR
215	1	Female	12.4	MR
216	1	Female	10.8	RR
217	1	Male	6	R
217	2	Male	7.6	NA
218	1	Female	8.7	M
219	1	Male	8.8	RR
220	1	Male	12.8	MR
221	1	Male	11.9	MR
222	1	Female	7.5	MR
223	1	Female	6.6	MR
224	1	Male	NA	NA
225	1	Female	12.5	R
226	1	Male	10.9	MR
227	1	Female	10.2	RR
228	1	Male	11.2	MR
229	1	Male	4.8	MR
230	1	Female	4.5	M
231	1	Male	6.5	RR
231	2	Male	8.1	NA
232	1	Male	7.1	MR
233	1	Female	6.5	R
234	1	Male	15.2	MR
