ROI Label,ROI Name
184,RH_DefaultA_IPL_1
185,RH_DefaultA_PFCd_1
186,RH_DefaultA_pCunPCC_1
187,RH_DefaultA_PFCm_1
188,RH_DefaultA_PFCm_2
189,RH_DefaultA_PFCm_3
190,RH_DefaultB_Temp_1
191,RH_DefaultB_AntTemp_1
192,RH_DefaultB_PFCd_1
193,RH_DefaultB_PFCv_1
194,RH_DefaultC_IPL_1
195,RH_DefaultC_Rsp_1
196,RH_DefaultC_PHC_1
197,RH_TempPar_1
198,RH_TempPar_2
199,RH_TempPar_3
200,RH_TempPar_4
