Participant	Session	Sex	ScanAge	Handness_ChineseEHI
0128	01	Male	11.1	NA
0129	01	Male	10	M
0130	01	Male	9.6	R
0130	02	Male	11.1	MR
0131	01	Female	7.9	MR
0131	02	Female	9.3	MR
0132	01	Male	12.5	M
0133	01	Female	6	MR
0133	02	Female	7.8	MR
0134	01	Female	10	MR
0134	02	Female	11.9	MR
0135	01	Female	9.8	MR
0135	02	Female	11.1	R
0135	03	Female	12.7	NA
0136	01	Female	14.3	ML
0137	01	Female	12.7	MR
0138	01	Female	15.4	MR
0139	01	Female	7.4	MR
0140	01	Male	16.6	R
0141	01	Male	8.7	RR
0141	02	Male	10.1	RR
0141	03	Male	11.6	NA
0142	01	Male	7.3	MR
0143	01	Male	7.3	R
0143	02	Male	8.7	MR
0144	01	Female	7.2	MR
0144	02	Female	8.5	R
0144	03	Female	10.1	NA
0145	01	Male	7.5	MR
0145	02	Male	9	MR
0145	03	Male	10.5	NA
0146	01	Female	7.1	MR
0146	02	Female	8.5	MR
0146	03	Female	10	NA
0147	01	Male	11.5	M
0148	01	Male	6.4	MR
0148	02	Male	7.7	MR
0148	03	Male	9.3	NA
0149	01	Male	7.7	MR
0150	01	Female	6.3	MR
0150	02	Female	7.6	RR
0150	03	Female	9.3	NA
0151	01	Male	11.4	RR
0151	02	Male	12.6	MR
0151	03	Male	14.3	NA
0152	01	Male	10.5	R
0153	01	Female	4.9	M
0154	01	Male	15.5	NA
0155	01	Male	10.8	MR
0155	02	Male	12.5	NA
0156	01	Female	11.6	R
0157	01	Male	10.8	MR
0158	01	Male	7.1	MR
0159	01	Male	10.6	MR
0160	01	Female	16.7	NA
0161	01	Female	10.5	NA
0162	01	Female	7.9	MR
0162	02	Female	9.3	MR
0163	01	Female	8.2	RR
0163	02	Female	9.6	MR
0164	01	Female	8.9	R
0165	01	Female	10.8	MR
0166	01	Male	8.4	R
0167	01	Female	NA	NA
0168	01	Male	9.2	MR
0168	02	Male	10.6	MR
0169	01	Male	7.8	MR
0170	01	Male	9.6	MR
0171	01	Female	7.5	NA
0172	01	Male	9.1	ML
0173	01	Male	8.3	MR
0173	02	Male	10.2	NA
0174	01	Male	9	R
0175	01	Female	7	RR
0177	01	Male	7.5	R
0178	01	Female	10.6	MR
0179	01	Male	7.6	MR
0180	01	Female	7.4	MR
0182	01	Female	10.1	MR
0183	01	Male	NA	NA
0184	01	Female	5.8	MR
0185	01	Male	10	R
0186	01	Male	9.5	M
0187	01	Male	9.5	R
0188	01	Male	9.4	R
0189	01	Male	9.2	MR
0190	01	Male	5.6	MR
0191	01	Male	9.2	MR
0193	01	Male	7.7	RR
0194	01	Female	8.9	MR
0195	01	Male	9.6	MR
0195	02	Male	10.7	NA
0196	01	Female	10.3	R
0197	01	Male	8.6	MR
0198	01	Male	10.5	MR
0199	01	Female	14.6	MR
0200	01	Male	11.1	R
0201	01	Female	7.4	MR
0202	01	Female	6.6	MR
0203	01	Female	8.6	MR
0204	01	Male	7.1	R
0205	01	Male	7.1	MR
0206	01	Female	8	MR
0207	01	Female	7.4	MR
0208	01	Male	7.1	MR
0209	01	Female	8.5	R
0210	01	Female	10	R
0211	01	Male	9.2	MR
0212	01	Female	7.2	MR
0213	01	Male	11.5	MR
0214	01	Male	6.6	MR
0215	01	Female	12.4	MR
0216	01	Female	10.8	RR
0217	01	Male	6	R
0217	02	Male	7.6	NA
0218	01	Female	8.7	M
0219	01	Male	8.8	RR
0220	01	Male	12.8	MR
0221	01	Male	11.9	MR
0222	01	Female	7.5	MR
0223	01	Female	6.6	MR
0224	01	Male	NA	NA
0225	01	Female	12.5	R
0226	01	Male	10.9	MR
0227	01	Female	10.2	RR
0228	01	Male	11.2	MR
0229	01	Male	4.8	MR
0230	01	Female	4.5	M
0231	01	Male	6.5	RR
0231	02	Male	8.1	NA
0232	01	Male	7.1	MR
0233	01	Female	6.5	R
0234	01	Male	15.2	MR
0235	01	Male	6.7	MR
0236	01	Female	9.4	RR
0237	01	Male	6.1	MR
0238	01	Male	14	LL
0239	01	Female	12.6	MR
0240	01	Female	6.1	MR
0241	01	Male	11.2	NA
0242	01	Female	7.5	NA
0243	01	Female	10.1	MR
0244	01	Male	10.7	R
0244	02	Male	12.2	NA
0245	01	Male	11.1	RR
0246	01	Male	8.4	MR
0246	02	Male	9.8	NA
0247	01	Female	12.5	MR
0248	01	Male	11.6	NA
0249	01	Male	NA	NA
0250	01	Male	12.9	MR
0251	01	Male	7.6	NA
0252	01	Male	6.2	MR
0253	01	Male	6.2	M
0254	01	Female	10.6	R
0255	01	Female	6.3	MR
0255	02	Female	7.8	NA
